RouteStopMapIID,RouteID,StopName,Longitude,Latitude
119929,40612,EZDAN 28,,
119932,40612,EZDAN 30,,
119935,40612,WUKAIR,,
119941,40613,OLD SALATA,,
119944,40614,ABU HAMOUR,,
119945,40614,AIN KHALID,,
119946,40614,AZIZIA,,
119948,40614,MAMOURA,,
119953,40615,OLD AIRPORT,,
119963,40617,THUMAMA,,
119965,40618,NAJMA,,
119968,40619,EZDAN 24,,
119969,40619,EZDAN 28,,
119970,40619,EZDAN 29,,
119971,40619,EZDAN 30,,
119972,40619,EZDAN 31,,
119973,40619,EZDAN 37,,
119978,40619,EZDAN OASIS,,
119980,40619,WUKAIR,,
119982,40620,AL NASR,,
119983,40620,AL SAAD,,
119985,40620,BIN OMRAN,,
119986,40620,FAREEJ KHULAIB,,
119987,40620,MADINAT KHALIFA SOUTH,,
119988,40620,MARKHIYA,,
120004,40628,HILAL,,
120010,40630,ONAIZA,,
120011,40630,DAFNA,,
120012,40630,PEARL QATAR,,
120020,40612,YASMIN VILLAGE,,
120028,40633,WAKRAH,,
120035,40634,OLD AIRPORT,,
120044,40636,BIN MAHMOUD,,
120048,40637,AL SADD,,
120054,40638,AIN KHALID,,
120055,40638,ABU HAMOUR,,
120062,40639,WESTBAY,,
120063,40640,AL KHOR,,
120065,40641,MATAR KADEEM,,
120066,40641,OLD AIRPORT,,
120071,40642,NUAIJA,,
120072,40643,EZDAN OASIS,,
120075,40643,MESHAF,,
120076,40644,NAJMA,,
120080,40645,EZDAN 23,,
120081,40645,EZDAN 24,,
120082,40645,WUKAIR,,
120083,40645,EZDAN 21,,
120085,40645,EZDAN 22,,
120091,40646,THUMAMA,,
120093,40631,WAKRAH,,
120100,40647,LUQTA,,
120101,40622,OLD AIRPORT,,
120104,40622,THUMAMA,,
120117,40628,FAREEJ ABDUL AZIZ,,
120118,40628,NAJMA,,
120119,40630,MARKHIYA,,
120126,40612,EZDAN 29,,
120132,40632,EZDAN 09,,
120133,40632,EZDAN 10,,
120134,40632,EZDAN 58,,
120135,40633,AL MUFTAH VILLAGE,,
120136,40635,UMM GHWAILINA,,
120145,40638,UM AL SANEEM,,
120147,40640,THAKHIRA,,
120148,40642,NEW SALATA,,
120150,40644,MANSOURA,,
120157,40613,UMM GHWALINA,,
120159,40616,MUNTAZAH,,
120160,40616,MUSHEIREB,,
120161,40618,MANSOURA,,
120162,40619,WAKRAH,,
120163,40619,AL MUFTAH VILLAGE,,
120164,40619,EZDAN 03,,
120165,40619,EZDAN 04,,
120166,40619,MESHAF CAMPUS,,
120167,40619,EZDAN 05,,
120168,40619,EZDAN 06,,
120169,40619,EZDAN 07,,
120170,40620,GHARAFA,,
120171,40620,BIN MAHMOUD,,
120172,40621,AL KHOR - STADIUM SIDE,,
120173,40622,UMM GHWALINA,,
120174,40623,MUSHEIREB,,
120175,40623,BIN MAHMOUD,,
120176,40624,DUHAIL,,
120177,40624,GHARAFA,,
120179,40647,AL RAYYAN,,
120181,40647,MUAITHER,,
120182,40647,SHABIYATH KHALIFA,,
120184,40631,EZDAN 06,,
120185,40631,EZDAN 09,,
120186,40631,EZDAN OASIS,,
120187,40637,AL NASR,,
120188,40620,AL SADD,,
120189,40619,WAKRA,,
120196,40626,BIN OMRAN,,
120198,40626,FAREEJ KHULAIB,,
120201,40627,AL KHOR - LULU SIDE,,
120203,40628,DOHA JADEED,,
120204,40628,MANSOURA,,
120207,40629,THAKHIRA,,
120208,40639,PEARL QATAR,,
120209,40630,CITY CENTER,,
120213,40630,WEST BAY,,
120215,40622,OLD SALATA,,
120216,40649,DOHA JADEED,,
120219,40650,ABUHAMOUR,,
120221,40650,AIN KHALID,,
120222,40650,MAMOURA,,
120223,40650,NUAIJA,,
120225,40618,AL HILAL,,
120226,40651,WAKRA,,
120227,40652,MESAIEED,,
120229,40653,GHARAFA,,
120230,40653,LUQTA,,
120231,40653,RAYYAN,,
120232,40653,BANI HAJR,,
120233,40653,WAJBAH,,
120235,40654,NEW THUMAMA,,
120236,40654,BARWA CITY,,
120239,40655,OLD SALATA,,
120240,40655,OLD GHANIM,,
120242,40656,MADINAT KHALIFA SOUTH,,
120243,40656,MESSILA,,
120247,40658,MUSHEIREB,,
120249,40659,MURRAH,,
120251,40659,SAILIYA,,
120252,40659,MUAITHER,,
120253,40623,AL SAAD,,
120254,40623,AL NASAR,,
120255,40660,AL KHOR OOREDOO,,
120256,40660,AL KHOR FISH MARKET,,
120257,40625,MADINAT KHALIFA SOUTH,,
120258,40661,WUKAIR,,
120259,40661,EZDAN18,,
120260,40662,MUNTAZAH,,
120262,40663,THUMAMA,,
120263,40664,HILAL,,
120264,40665,MANSOURA,,
120265,40665,NAJMA,,
120270,40667,GHARAFA,,
120271,40667,MARKHIYA,,
120272,40667,BIN OMRAN,,
120273,40667,MADINAT KHALIFA SOUTH,,
120276,40616,NEW SALATA,,
120277,40648,EZDAN 11,,
120279,40652,WAKRAH,,
120283,40658,FAREEJ ABDUL AZIZ,,
120289,40654,MESAEMER,,
120290,40655,UMM GHWALINA,,
120293,40650,MUMTHAZA,,
120295,40650,NEW SALATA,,
120296,40623,AL HITMI,,
120297,40668,WAKRAH HOSPITAL SIDE,,
120298,40668,WAKRAH BEHIND RETAIL MART,,
120299,40669,EZDAN 3,,
120303,40672,MAMOURA,,
120304,40672,AZIZIYA,,
120305,40672,AL WAAB,,
120306,40673,MADINAT KHALIFA NORTH,,
120307,40673,LUQTA,,
120308,40673,MARKHIYA,,
120311,40670,EZDAN 04,,
120314,40671,EZDAN 05,,
120316,40648,EZDAN 08,,
120317,40674,EZDAN 07,,
120318,40674,MESHAF,,
120319,40674,EZDAN 56,,
120322,40659,BU SIDRA,,
120324,40667,AL NASR,,
120325,40667,AL SADD,,
120327,40624,KHARAITIYAT,,
120328,40675,DUHAIL,,
120329,40675,MARKHIYA,,
120330,40675,MADINAT KHALIFA NORTH,,
120331,40676,UMM GHWAILINA,,
120332,40676,RAS ABU ABOOD,,
120333,40676,BEHIND KEO,,
120336,40666,WAKRAH,,
120340,40667,FAREEJ KHULAIB,,
120341,40666,EZDAN OASIS,,
120343,40677,MANSOURA,,
120344,40678,EZDAN 37,,
120345,40678,EZDAN 39,,
120346,40678,EZDAN 40,,
120347,40678,EZDAN 31,,
120348,40664,NUAIJA,,
120349,40642,HILAL,,
120350,40678,EZDAN 33,,
120351,40666,EZDAN 05,,
120352,40666,MESHAF,,
120353,40666,EZDAN 22,,
120356,40678,WUKAIR,,
120357,40614,MESAIMER,,
120358,40614,MURRAH,,
120359,40679,THUMAMA,,
120361,40680,WAKRAH,,
120362,40680,BARWA VILLAGE,,
120363,40680,SOUQ AL HARAJ BARWA,,
120364,40681,MATAR QADEEM,,
120365,40681,OLD AIRPORT,,
120366,40681,UQBA BIN NAFFI,,
120368,40682,BIN OMRAN,,
120369,40682,FAREEJ KULAIB,,
120370,40682,NEW FEREEJ AL HITMI,,
120372,40666,EZDAN 10,,
120373,40666,EZDAN 03,,
120374,40667,BIN MEHMOUD,,
120376,40666,AL MUFTAH VILLAGE,,
120378,40629,OLD TOYOTA,,
120379,40629,BEHIND ANSAR GALLERY,,
120380,40629,BEHIND SAFARI,,
120382,40621,BEHIND KABAYAN,,
120383,40621,BEHIND POLICE STATION,,
120384,40621,AL KHOR - OLD STADIUM,,
120386,40617,OLD GHANIM,,
120387,40617,OLD SALATA,,
120388,40617,RAS BU ABOUD,,
120389,40617,DOHA JADEED,,
120390,40628,OLD GHANIM,,
120391,40683,AIN KHALID,,
120392,40683,ABU HAMOUR,,
120393,40617,MUSHERIEB,,
120394,40648,MESHAF,,
120396,40665,HILAL,,
120398,40679,MESAIMER,,
120399,40679,BARWA CITY,,
120400,40617,FAREEJ ABDUL AZIZ,,
120402,40660,BEHIND AL FARDAN,,
120403,40660,CORNICHE BEHIND LULU,,
120404,40671,MESHAF,,
120405,40666,BARWA CITY,,
120406,40631,EZDAN 05,,
120407,40684,DUHAIL,,
120408,40684,GHARAFA,,
120409,40684,RAYYAN,,
120410,40671,EZDAN 06,,
120411,40657,EZDAN OASIS,,
120412,40657,WUKAIR,,
120413,40648,UMM BESHER,,
120415,40665,NUAIJA TEYSEEY SIDE,,
120416,40616,NUAIJA LULU SIDE,,
120417,40613,THUMAMA  BEHIND ANSAR GALLERY,,
120418,40616,HILAL AL MEERA SIDE,,
120419,40613,HILAL CBQ SIDE,,
120421,40667,AL RAYYAN,,
120423,40667,SHABIYATH KHALIFA,,
120424,40666,EZDAN 30,,
120425,40666,EZDAN 56,,
120426,40670,MESHAF,,
120427,40631,WUKAIR ( T A ),,
120428,40631,EZDAN 57,,
120429,40631,WUKAIR,,
120430,40615,NEW SALATA,,
120431,40685,EZDAN OASIS BLOCK A,,
120432,40685,EZDAN OASIS BLOCK C,,
120433,40643,EZDAN OASIS BLOCK B,,
120434,40685,EZDAN OASIS BLOCK D,,
120435,40632,EZDAN 55,,
120436,40680,BARWA MADINATNA,,
120437,40670,EZDAN 56,,
120438,40672,HALOUL,,
120439,40654,BARWA MADINATNA,,
120443,40666,EZDAN 55,,
120444,40687,EZDAN 28,,
120445,40687,EZDAN 30,,
120446,40687,WUKAIR,,
120447,40687,YASMIN VILLAGE,,
120449,40688,EZDAN 09,,
120453,40689,WAKRAH,,
120454,40689,AL MUFTAH VILLAGE,,
120455,40690,OLD AIRPORT,,
120456,40691,UMM GHWAILINA,,
120457,40692,BIN MAHMOUD,,
120458,40693,AL SADD,,
120459,40693,AL NASR,,
120460,40694,AIN KHALID,,
120461,40694,ABU HAMOUR,,
120462,40694,UM AL SANEEM,,
120465,40696,AL KHOR,,
120466,40696,THAKHIRA,,
120467,40697,MATAR KADEEM,,
120468,40697,OLD AIRPORT,,
120469,40698,NUAIJA,,
120470,40698,NEW SALATA,,
120471,40698,HILAL,,
120472,40699,EZDAN OASIS,,
120474,40699,EZDAN OASIS BLOCK B,,
120475,40700,NAJMA,,
120476,40700,MANSOURA,,
120477,40701,EZDAN 23,,
120478,40701,EZDAN 24,,
120479,40701,WUKAIR,,
120480,40701,EZDAN 21,,
120481,40701,EZDAN 22,,
120482,40702,THUMAMA,,
120483,40703,EZDAN 11,,
120485,40703,MESHAF,,
120486,40703,UMM BESHER,,
120487,40704,DOHA JADEED,,
120488,40705,WAKRA,,
120489,40706,MESAIEED,,
120490,40706,WAKRAH,,
120491,40707,GHARAFA,,
120492,40707,LUQTA,,
120493,40707,RAYYAN,,
120494,40707,BANI HAJR,,
120495,40707,WAJBAH,,
120496,40708,NEW THUMAMA,,
120497,40708,BARWA CITY,,
120498,40708,MESAEMER,,
120501,40709,OLD GHANIM,,
120503,40710,MADINAT KHALIFA SOUTH,,
120504,40710,MESSILA,,
120506,40711,WUKAIR,,
120507,40712,MUSHEIREB,,
120508,40712,FAREEJ ABDUL AZIZ,,
120509,40713,MURRAH,,
120510,40713,SAILIYA,,
120511,40713,MUAITHER,,
120512,40713,BU SIDRA,,
120513,40714,WUKAIR,,
120514,40714,EZDAN18,,
120515,40715,MUNTAZAH,,
120516,40716,THUMAMA,,
120517,40717,HILAL,,
120518,40717,NUAIJA,,
120519,40718,WAKRAH HOSPITAL SIDE,,
120520,40718,WAKRAH BEHIND RETAIL MART,,
120521,40719,EZDAN 3,,
120522,40720,EZDAN 04,,
120523,40720,MESHAF,,
120524,40720,EZDAN 56,,
120526,40721,MESHAF,,
120527,40721,EZDAN 06,,
120528,40722,MAMOURA,,
120529,40722,AZIZIYA,,
120530,40722,AL WAAB,,
120531,40722,HALOUL,,
120532,40723,MADINAT KHALIFA NORTH,,
120534,40723,MARKHIYA,,
120535,40724,EZDAN 07,,
120536,40724,MESHAF,,
120539,40725,RAS ABU ABOOD,,
120541,40726,MANSOURA,,
120548,40728,WAKRAH,,
120552,40729,MATAR QADEEM,,
120553,40729,OLD AIRPORT,,
120555,40730,BIN OMRAN,,
120557,40730,NEW FEREEJ AL HITMI,,
120558,40731,AIN KHALID,,
120559,40731,ABU HAMOUR,,
120560,40732,DUHAIL,,
120561,40732,GHARAFA,,
120563,40733,EZDAN OASIS BLOCK A,,
120564,40733,EZDAN OASIS BLOCK C,,
120565,40733,EZDAN OASIS BLOCK D,,
120566,40734,EZDAN 10,,
120567,40734,EZDAN 08,,
120568,40735,EZDAN 05,,
120569,40736,WAKRA BEACH SIDE,,
120570,40736,WAKRA QNB SIDE,,
120571,40737,AL KHOR - STADIUM SIDE,,
120572,40737,BEHIND KABAYAN,,
120575,40738,OLD AIRPORT,,
120577,40738,UMM GHWALINA,,
120578,40738,OLD SALATA,,
120579,40739,MUSHEIREB,,
120580,40739,BIN MAHMOUD,,
120581,40739,AL SAAD,,
120582,40739,AL NASAR,,
120583,40739,AL HITMI,,
120584,40740,DUHAIL,,
120585,40740,GHARAFA,,
120586,40740,KHARAITIYAT,,
120587,40741,MADINAT KHALIFA SOUTH,,
120588,40742,BIN OMRAN,,
120589,40742,FAREEJ KHULAIB,,
120590,40743,AL KHOR - LULU SIDE,,
120592,40744,FAREEJ ABDUL AZIZ,,
120593,40744,NAJMA,,
120594,40744,DOHA JADEED,,
120595,40744,MANSOURA,,
120596,40744,OLD GHANIM,,
120598,40745,OLD TOYOTA,,
120599,40745,BEHIND ANSAR GALLERY,,
120601,40746,ONAIZA,,
120602,40746,DAFNA,,
120603,40746,PEARL QATAR,,
120604,40746,MARKHIYA,,
120605,40746,CITY CENTER,,
120606,40746,WEST BAY,,
120609,40747,EZDAN 09,,
120610,40747,EZDAN OASIS,,
120611,40747,EZDAN 05,,
120612,40747,WUKAIR ( T A ),,
120614,40747,WUKAIR,,
120615,40748,LUQTA,,
120616,40748,AL RAYYAN,,
120617,40748,MUAITHER,,
120618,40748,SHABIYATH KHALIFA,,
120619,40749,ABUHAMOUR,,
120620,40749,AIN KHALID,,
120621,40749,MAMOURA,,
120622,40749,NUAIJA,,
120623,40749,MUMTHAZA,,
120624,40749,NEW SALATA,,
120625,40750,AL KHOR OOREDOO,,
120626,40750,AL KHOR FISH MARKET,,
120628,40750,CORNICHE BEHIND LULU,,
120629,40751,DUHAIL,,
120631,40751,MADINAT KHALIFA NORTH,,
120633,40752,UMM GHWALINA,,
120636,40753,ABU HAMOUR,,
120637,40753,AIN KHALID,,
120638,40753,AZIZIA,,
120639,40753,MAMOURA,,
120641,40753,MURRAH,,
120642,40754,OLD AIRPORT,,
120644,40755,MUNTAZAH,,
120646,40755,NEW SALATA,,
120650,40756,OLD GHANIM,,
120651,40756,OLD SALATA,,
120652,40756,RAS BU ABOUD,,
120653,40756,DOHA JADEED,,
